School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Bradley,36,21,15,.583,2.48,1.95,10,8,14,4,5,9,2415,2387,.445,.359,.544,49.5,56.2,7.5,.499,19.0,.320
Brigham Young,33,25,8,.758,15.12,4.15,12,4,14,2,9,3,2544,2150,.356,.332,.579,52.7,59.1,7.2,.547,14.6,.260
Brown,28,9,19,.321,-12.39,-5.02,3,11,8,5,1,14,1712,1898,.379,.366,.516,49.6,62.3,6.1,.484,19.5,.250
Bucknell,30,7,23,.233,-11.59,-4.12,4,10,6,8,1,15,1928,2152,.299,.350,.478,48.6,49.8,4.7,.444,17.4,.203
Buffalo,33,21,12,.636,1.44,-0.90,11,5,9,4,7,7,2155,2078,.354,.271,.495,53.9,52.2,6.0,.464,17.6,.228
Butler,32,26,6,.813,10.07,2.07,15,3,15,2,11,3,2168,1854,.430,.454,.559,52.5,59.1,6.9,.518,17.1,.311
Cal Poly,28,7,21,.250,-8.32,-1.32,3,13,3,12,3,8,1822,1964,.306,.352,.500,46.7,46.5,5.8,.465,15.2,.216
Cal State Fullerton,32,15,17,.469,-4.20,-1.26,7,9,7,6,7,7,2345,2356,.325,.398,.537,47.0,51.1,6.9,.504,16.2,.232
Cal State Northridge,31,17,14,.548,2.65,-0.14,11,5,10,2,5,11,2282,2178,.338,.337,.544,52.4,52.4,5.6,.514,20.7,.235
UC-Davis,32,13,19,.406,-4.13,-3.40,7,9,5,8,6,9,2338,2372,.379,.392,.576,48.2,62.8,4.4,.532,18.3,.295
UC-Irvine,31,12,19,.387,-5.80,-1.80,8,8,6,7,5,10,2028,2134,.316,.322,.532,47.5,54.9,3.9,.492,15.8,.239
UC-Riverside,30,17,13,.567,-5.22,-3.76,8,8,11,2,6,10,1806,1818,.309,.301,.511,52.7,55.7,4.0,.481,18.7,.211
UC-Santa Barbara,31,16,15,.516,-1.74,-1.10,8,8,10,4,3,10,2030,2021,.400,.306,.535,50.9,55.2,5.7,.497,20.4,.278
University of California,33,22,11,.667,13.30,7.21,11,7,16,2,6,6,2472,2271,.343,.266,.575,51.6,57.1,3.9,.540,15.7,.259
Campbell,30,14,16,.467,-7.97,-3.42,11,9,10,4,4,10,2164,2153,.407,.292,.527,51.3,63.4,5.1,.484,19.5,.289
Canisius,31,11,20,.355,-6.46,-1.68,4,14,5,8,5,12,1949,2097,.339,.311,.480,50.0,52.5,8.6,.453,20.1,.209
Centenary (LA),31,8,23,.258,-8.46,-1.56,6,12,4,5,2,15,1993,2207,.319,.391,.503,43.4,53.6,5.7,.470,17.7,.217
Central Connecticut State,30,13,17,.433,-10.35,-6.76,8,10,8,5,5,12,1943,2043,.329,.247,.523,49.4,54.2,5.5,.487,18.8,.237
Central Florida,31,17,14,.548,1.73,1.26,7,9,13,3,3,8,2222,2166,.329,.363,.547,51.4,61.0,6.0,.510,18.0,.246
Central Michigan,31,12,19,.387,-7.06,-4.15,7,9,8,6,3,11,1928,2018,.378,.329,.502,49.6,45.0,6.1,.473,18.9,.238
Charleston Southern,29,9,20,.310,-14.07,-5.46,4,14,7,9,2,10,2000,2091,.277,.339,.514,52.2,51.6,6.3,.494,16.9,.175
Charlotte,31,11,20,.355,0.79,2.47,5,11,9,6,2,11,2130,2182,.328,.386,.503,48.1,56.1,7.0,.469,16.1,.224
Chattanooga,35,18,17,.514,-6.25,-3.13,11,9,13,3,5,10,2657,2687,.467,.410,.543,51.7,54.4,4.4,.510,18.4,.307
Chicago State,32,19,13,.594,-5.97,-4.51,11,3,6,9,2693,2577,.372,.351,.551,50.7,53.0,7.4,.521,16.6,.254
Cincinnati,32,18,14,.563,7.83,6.77,8,10,14,5,4,7,2187,2123,.301,.376,.512,52.6,58.8,6.4,.486,16.9,.198
Citadel,33,20,13,.606,-4.48,-5.98,15,5,10,5,9,6,2206,2134,.348,.361,.545,51.3,48.2,3.6,.510,17.1,.249
Clemson,32,23,9,.719,15.56,6.59,9,7,13,3,7,5,2507,2177,.315,.347,.553,51.3,52.4,11.3,.528,16.8,.217
Cleveland State,37,26,11,.703,6.97,2.12,12,6,13,2,8,8,2455,2203,.357,.283,.514,50.4,58.0,7.0,.476,16.0,.250
Coastal Carolina,31,11,20,.355,-11.74,-6.98,5,13,8,6,2,13,2148,2193,.327,.371,.525,50.7,57.9,6.1,.506,19.6,.201
Colgate,30,10,20,.333,-13.26,-6.12,5,9,4,7,6,13,1701,1895,.379,.319,.492,47.1,52.5,6.7,.453,20.3,.254
College of Charleston,36,27,9,.750,-1.33,-5.87,15,5,12,4,11,5,2781,2616,.320,.365,.562,49.1,47.9,7.5,.541,15.4,.211
Colorado State,31,9,22,.290,-1.16,3.88,4,12,6,9,2,11,2142,2300,.385,.315,.526,49.6,46.0,5.0,.484,17.3,.276
Colorado,31,9,22,.290,-0.06,5.04,1,15,8,9,0,10,1951,2091,.395,.334,.553,45.1,52.7,3.5,.512,19.8,.289
Columbia,28,12,16,.429,-9.92,-6.46,7,7,9,6,3,9,1689,1740,.348,.292,.486,49.4,53.8,4.2,.450,18.5,.233
Connecticut,36,31,5,.861,22.17,8.57,15,3,14,2,9,1,2819,2313,.464,.230,.549,55.8,56.9,13.1,.513,15.1,.315
Coppin State,32,13,19,.406,-9.56,-4.59,9,7,7,2,4,14,2043,2161,.314,.302,.503,45.0,42.1,3.0,.465,16.6,.226
Cornell,31,21,10,.677,2.71,-4.01,11,3,14,0,5,8,2281,2007,.314,.338,.572,52.2,58.7,7.7,.542,16.6,.229
Creighton,35,27,8,.771,8.69,0.92,14,4,16,3,8,4,2565,2293,.398,.377,.559,47.5,57.5,8.3,.516,15.7,.298
Dartmouth,28,9,19,.321,-13.28,-6.03,7,7,6,9,3,9,1750,1897,.312,.274,.489,48.2,42.4,9.2,.458,17.8,.205
Davidson,35,27,8,.771,8.26,-3.33,18,2,12,3,11,3,2724,2306,.329,.392,.537,51.0,51.4,6.6,.506,14.8,.230
Dayton,35,27,8,.771,7.16,1.76,11,5,18,0,5,5,2339,2150,.381,.294,.502,53.2,58.4,7.6,.470,16.9,.247
Delaware State,32,8,24,.250,-14.53,-4.78,6,10,5,6,3,14,1847,2098,.281,.338,.504,47.9,46.0,8.4,.480,21.1,.183
Delaware,32,13,19,.406,-4.83,-2.64,6,12,8,7,3,11,2174,2244,.379,.391,.518,47.6,57.0,5.6,.478,16.5,.266
Denver,31,15,16,.484,-4.58,-4.97,9,9,12,3,2,12,1884,1872,.361,.482,.600,44.6,65.7,5.0,.570,20.6,.267
DePaul,33,9,24,.273,-1.21,6.88,0,18,6,10,1,11,2123,2390,.317,.331,.480,46.9,47.8,5.9,.455,15.8,.195
Detroit Mercy,30,7,23,.233,-8.08,0.65,2,16,4,8,3,15,1694,1937,.400,.238,.486,49.7,50.8,6.8,.449,22.4,.258
Drake,33,17,16,.515,1.32,1.41,7,11,12,7,4,7,2128,2063,.393,.464,.544,50.0,55.6,4.8,.497,17.7,.296
Drexel,29,15,14,.517,-0.80,-1.28,10,8,8,5,7,8,1788,1774,.390,.296,.461,53.4,53.0,7.8,.416,15.9,.262
Duke,37,30,7,.811,20.10,9.07,11,5,16,1,6,5,2867,2439,.414,.350,.548,51.9,50.7,7.7,.505,14.8,.301
Duquesne,34,21,13,.618,6.04,2.48,9,7,10,5,8,7,2683,2541,.374,.415,.573,48.2,60.3,6.6,.545,16.6,.260
East Carolina,30,13,17,.433,-3.00,1.26,5,11,10,6,3,10,2176,2214,.363,.414,.557,48.7,59.9,5.5,.520,15.8,.266
East Tennessee State,34,23,11,.676,3.21,-1.87,14,6,11,2,9,6,2657,2383,.396,.289,.547,50.9,45.4,7.5,.510,16.4,.281
Eastern Illinois,30,12,18,.400,-9.18,-5.47,8,10,9,5,3,13,1936,1982,.322,.268,.525,51.1,54.7,4.1,.490,17.3,.231
Eastern Kentucky,31,18,13,.581,-2.82,-5.45,10,8,12,2,5,11,2247,2061,.280,.467,.581,46.6,61.4,4.1,.561,14.9,.194
Eastern Michigan,32,8,24,.250,-11.69,-1.79,6,10,5,9,3,12,1834,2040,.347,.306,.475,50.4,55.0,7.4,.449,20.7,.210
Eastern Washington,30,12,18,.400,-7.13,-1.81,6,10,9,5,3,13,1905,2055,.318,.309,.502,49.7,51.1,4.8,.468,16.7,.220
Elon,31,11,20,.355,-11.97,-4.62,7,13,8,6,2,14,2041,2197,.328,.311,.516,47.7,56.8,6.8,.490,18.0,.211
Evansville,31,17,14,.548,1.87,2.29,8,10,15,4,2,9,2081,2038,.453,.189,.521,50.3,62.2,2.8,.477,17.0,.314
Fairfield,32,17,15,.531,-2.29,-0.44,9,9,9,4,6,9,2093,2152,.360,.342,.509,49.2,57.8,7.3,.478,17.3,.236
Fairleigh Dickinson,30,7,23,.233,-17.59,-5.18,6,12,4,9,3,14,1909,2282,.424,.271,.492,46.2,49.6,8.2,.456,20.9,.270
Florida A&M,31,10,21,.323,-17.22,-5.72,6,10,7,3,1,16,1899,2228,.327,.379,.477,43.0,49.8,4.3,.449,17.8,.204
Florida Atlantic,32,6,26,.188,-9.68,-2.10,2,16,5,7,0,18,2079,2319,.330,.299,.506,48.3,53.1,6.4,.463,16.0,.244
Florida International,33,13,20,.394,-7.71,-1.52,7,11,10,7,3,12,2071,2240,.395,.319,.504,50.4,54.8,6.0,.472,19.5,.252
Florida State,35,25,10,.714,11.37,7.91,10,6,13,3,8,5,2392,2271,.392,.335,.535,50.6,51.6,11.5,.492,19.7,.284
Florida,36,25,11,.694,12.83,3.88,9,7,19,2,2,7,2774,2427,.300,.376,.569,50.3,59.4,5.5,.546,15.1,.208
Fordham,28,3,25,.107,-14.14,1.08,1,15,2,13,1,11,1718,2144,.309,.350,.461,42.5,49.1,5.9,.431,15.8,.194
Fresno State,34,13,21,.382,-4.11,0.96,3,13,9,8,3,10,2299,2372,.365,.383,.535,48.2,60.0,9.0,.505,18.6,.245
Furman,30,6,24,.200,-16.07,-4.62,4,16,6,7,0,16,1830,2130,.357,.331,.495,47.0,53.3,6.4,.455,18.8,.248
Gardner-Webb,30,13,17,.433,-8.32,-5.04,9,9,7,5,6,12,2220,2244,.321,.369,.526,50.9,62.2,5.0,.496,17.4,.221
George Mason,33,22,11,.667,3.78,-1.98,13,5,14,0,6,11,2189,1999,.330,.297,.522,51.9,47.0,6.6,.498,15.8,.212
George Washington,28,10,18,.357,-2.08,0.31,4,12,7,5,3,10,1853,1920,.385,.303,.528,50.2,54.4,9.3,.494,19.0,.261
Georgetown,31,16,15,.516,14.39,8.97,7,11,11,5,3,8,2148,1980,.419,.364,.567,49.8,57.3,7.9,.530,19.2,.299
Georgia Southern,30,8,22,.267,-13.50,-3.70,5,15,6,7,1,13,2114,2363,.303,.347,.520,47.0,45.1,4.8,.495,18.1,.201
Georgia State,32,12,20,.375,-6.13,-1.83,8,10,6,8,4,11,1929,2036,.303,.329,.491,49.1,51.5,5.3,.468,17.0,.187
Georgia Tech,31,12,19,.387,5.56,7.32,2,14,10,9,2,10,2208,2216,.356,.263,.506,51.4,56.7,9.4,.479,19.3,.224
Georgia,32,12,20,.375,-1.81,5.50,3,13,10,8,1,9,2077,2237,.302,.324,.493,50.5,54.9,7.1,.467,20.9,.193
Gonzaga,34,28,6,.824,17.95,3.55,14,0,11,2,9,1,2684,2142,.351,.324,.580,52.2,52.9,10.0,.551,14.3,.252
Grambling,29,6,23,.207,-23.07,-10.10,4,14,4,8,1,14,1766,2084,.326,.334,.490,47.4,53.6,5.5,.467,19.9,.199
Green Bay,33,22,11,.667,5.63,0.73,13,5,13,2,7,7,2399,2196,.383,.365,.568,48.9,58.0,5.3,.520,16.5,.301
Hampton,32,16,16,.500,-10.79,-7.58,8,8,6,6,7,8,1851,1902,.380,.358,.466,49.3,55.2,8.3,.424,21.1,.251
Hartford,33,7,26,.212,-13.24,-2.93,2,14,4,8,1,16,1998,2316,.282,.474,.502,45.1,61.2,3.7,.470,18.8,.200
Harvard,28,14,14,.500,-7.57,-6.05,6,8,7,6,7,8,1890,1888,.422,.340,.567,47.4,54.6,6.9,.527,19.2,.308
Hawaii,30,13,17,.433,-2.51,-1.34,5,11,11,9,2,7,1921,1956,.448,.241,.510,53.3,58.9,8.1,.458,20.2,.320
High Point,30,9,21,.300,-13.10,-5.89,4,14,5,10,4,11,1931,2001,.273,.329,.497,52.3,52.5,9.2,.476,19.9,.170
Hofstra,32,21,11,.656,-3.42,-2.90,11,7,10,3,8,6,2128,2126,.382,.310,.487,53.5,49.8,10.7,.442,18.2,.265
Holy Cross,32,18,14,.563,-3.56,-5.91,11,3,12,4,6,10,2067,1992,.372,.271,.509,55.2,60.6,7.5,.472,20.0,.252
Houston,33,21,12,.636,8.26,1.29,10,6,12,3,6,8,2501,2259,.365,.290,.516,48.8,45.7,7.8,.470,11.8,.272
Howard,31,8,23,.258,-16.62,-6.58,6,10,8,5,0,14,1900,2186,.408,.338,.505,45.4,47.6,6.3,.472,20.9,.261
Idaho State,32,13,19,.406,-3.22,0.17,9,7,11,4,2,14,2089,2185,.381,.236,.535,49.7,52.8,8.3,.500,17.6,.262
Idaho,33,17,16,.515,-0.56,-0.15,9,7,13,3,4,12,2176,2167,.409,.319,.544,47.2,57.8,7.4,.516,16.9,.268
Illinois-Chicago,31,16,15,.516,0.98,0.02,7,11,8,6,8,8,2087,2035,.325,.308,.512,52.2,53.9,6.8,.466,16.5,.249
Illinois State,34,24,10,.706,7.83,1.52,11,7,13,2,7,7,2414,2155,.342,.414,.550,53.4,54.7,5.7,.521,16.4,.237
Illinois,34,24,10,.706,14.38,6.73,11,7,14,3,5,6,2204,1944,.225,.288,.534,49.9,69.3,7.3,.511,16.9,.160
Indiana State,32,11,21,.344,-3.38,2.04,7,11,5,9,4,10,2019,2181,.360,.423,.526,47.7,56.1,6.1,.484,19.1,.262
Indiana,31,6,25,.194,-2.03,8.98,1,17,5,10,0,11,1862,2190,.379,.325,.515,49.6,55.2,4.5,.485,23.1,.246
Iona,31,12,19,.387,-3.24,-2.37,7,11,5,6,5,10,1930,1957,.475,.340,.511,50.4,59.3,6.6,.470,20.5,.313
Iowa State,32,15,17,.469,3.48,5.68,4,12,13,6,2,10,2078,2100,.283,.394,.529,48.8,60.7,6.8,.500,16.5,.200
Iowa,32,15,17,.469,6.65,6.84,5,13,13,4,1,11,1927,1908,.338,.483,.565,49.6,57.7,5.0,.530,19.0,.251
Fort Wayne,30,13,17,.433,-5.42,-0.64,8,10,8,5,5,11,1970,2055,.360,.305,.537,47.2,47.9,6.6,.497,17.4,.264
IUPUI,30,16,14,.533,-2.92,-2.51,9,9,8,5,7,6,1964,1899,.350,.284,.549,51.1,54.4,8.4,.526,17.7,.229
Jackson State,33,18,15,.545,-9.50,-8.22,15,3,9,0,6,14,2307,2328,.429,.272,.518,51.7,56.1,5.5,.472,18.9,.303
Jacksonville State,28,11,17,.393,-8.20,-4.78,5,13,6,6,5,11,1962,1981,.413,.290,.521,50.8,62.0,4.6,.488,17.1,.270
Jacksonville,32,18,14,.563,1.62,-0.05,15,5,10,5,8,8,2363,2210,.407,.312,.538,53.8,51.0,7.7,.501,17.3,.281
James Madison,36,21,15,.583,-1.14,-2.91,9,9,9,4,8,7,2540,2465,.372,.363,.554,49.5,49.1,4.3,.511,18.0,.282
Kansas State,34,22,12,.647,12.18,5.24,9,7,16,3,5,6,2556,2266,.419,.310,.518,54.3,54.2,6.6,.485,16.1,.272
Kansas,35,27,8,.771,18.02,7.90,14,2,18,0,6,4,2674,2290,.395,.296,.569,55.1,58.7,8.7,.532,17.8,.287
Kent State,34,19,15,.559,0.66,-0.97,10,6,13,3,5,9,2343,2199,.341,.302,.516,49.3,50.6,5.6,.489,16.3,.221
Kentucky,36,22,14,.611,12.69,4.82,8,8,13,6,5,7,2669,2386,.401,.295,.578,53.6,60.8,12.8,.533,20.8,.310
La Salle,31,18,13,.581,3.45,1.12,9,7,11,6,6,4,2207,2135,.398,.284,.526,53.5,51.7,7.1,.489,17.5,.272
Lafayette,30,8,22,.267,-14.08,-6.14,4,10,6,8,2,14,1959,2197,.342,.453,.518,47.3,60.5,4.8,.474,21.1,.256
Lamar,30,15,15,.500,-5.00,-1.04,6,10,9,5,5,9,2198,2156,.407,.297,.529,51.3,56.3,8.2,.483,16.5,.297
Lehigh,29,15,14,.517,-8.31,-8.28,5,9,8,6,7,8,1854,1827,.389,.305,.479,51.9,54.4,4.9,.434,16.8,.268
Liberty,35,23,12,.657,-5.39,-5.49,12,6,15,3,6,8,2644,2493,.352,.446,.565,48.9,58.3,3.1,.535,16.4,.250
Lipscomb,31,17,14,.548,-2.58,-3.49,12,8,12,4,5,10,2368,2161,.448,.330,.563,54.6,60.8,4.2,.532,19.3,.301
Long Beach State,30,15,15,.500,-1.57,-0.27,10,6,9,5,6,9,2138,2177,.376,.369,.543,49.4,57.1,5.3,.513,17.9,.254
Long Island University,30,16,14,.533,-6.92,-8.63,12,6,12,3,4,11,2119,2058,.425,.329,.513,52.7,48.4,4.0,.464,16.1,.306
Longwood,31,17,14,.548,-12.38,-6.51,13,2,3,11,2400,2349,.311,.365,.519,45.7,58.1,5.1,.490,16.4,.211
Louisiana,30,10,20,.333,-6.30,-2.23,7,11,9,7,1,13,1999,2116,.330,.376,.508,48.2,41.3,9.1,.476,17.6,.223
Louisiana-Monroe,30,10,20,.333,-11.75,-3.20,6,12,8,6,2,14,1961,2155,.401,.323,.505,49.8,46.4,5.7,.459,19.1,.286
Louisiana State,35,27,8,.771,11.87,3.27,13,3,19,2,6,3,2617,2316,.354,.273,.535,53.5,56.5,11.7,.499,14.8,.253
Louisiana Tech,33,15,18,.455,-2.38,-1.98,6,10,8,4,5,12,2088,2083,.426,.297,.525,51.3,48.1,7.1,.491,20.2,.282
Louisville,37,31,6,.838,20.87,8.41,16,2,16,2,8,1,2748,2287,.314,.378,.546,51.8,62.4,11.7,.527,16.8,.201
Loyola (IL),32,14,18,.438,-5.51,-0.67,6,12,8,8,5,10,2026,2154,.333,.282,.487,49.1,52.3,7.4,.451,16.7,.226
Loyola Marymount,31,3,28,.097,-14.79,1.80,2,12,3,10,0,15,1726,2214,.347,.317,.443,45.5,52.0,3.8,.396,19.0,.239
Loyola (MD),32,12,20,.375,-5.65,-0.65,7,11,5,8,6,10,2147,2294,.365,.322,.496,49.1,51.3,6.7,.441,16.6,.283
Maine,30,9,21,.300,-11.33,-4.40,4,12,5,8,3,11,1980,2085,.380,.341,.516,48.6,55.7,6.1,.481,18.6,.256
Manhattan,30,16,14,.533,-4.09,-3.40,9,9,9,5,7,7,1931,1927,.445,.299,.487,52.0,45.6,7.8,.446,17.3,.288
Marist,33,10,23,.303,-7.24,-1.85,4,14,7,7,2,14,2111,2289,.339,.366,.498,47.6,48.0,5.1,.471,19.5,.215
Marquette,35,25,10,.714,15.06,7.87,12,6,16,2,7,4,2739,2432,.454,.347,.557,52.0,57.5,5.7,.512,14.2,.330
Marshall,32,15,17,.469,0.14,2.73,7,9,13,3,2,9,2276,2255,.423,.350,.540,51.1,54.1,4.6,.497,16.5,.303
Maryland-Baltimore County,32,15,17,.469,-8.74,-4.16,7,9,8,5,5,12,2102,2207,.331,.205,.506,47.7,53.4,5.1,.468,13.1,.234
Maryland-Eastern Shore,30,7,23,.233,-22.60,-8.80,3,13,5,6,2,16,1757,2089,.440,.310,.460,50.3,49.3,3.4,.421,20.5,.272
Maryland,35,21,14,.600,11.10,8.99,7,9,14,4,2,6,2512,2419,.280,.277,.509,48.9,55.3,8.0,.470,14.8,.212
Massachusetts,30,12,18,.400,0.64,3.54,7,9,6,7,3,10,2146,2211,.289,.408,.534,47.5,56.3,10.0,.507,17.4,.201
McNeese State,29,11,18,.379,-5.47,-3.99,5,11,9,5,2,13,1853,1865,.314,.273,.501,52.4,51.4,11.2,.474,19.8,.203
Memphis,37,33,4,.892,20.92,4.63,16,0,19,1,10,1,2779,2176,.399,.313,.537,54.2,53.7,11.9,.501,15.2,.275
Mercer,32,17,15,.531,-7.10,0.12,11,9,8,4,7,11,2392,2429,.388,.370,.533,51.6,47.8,6.0,.492,18.3,.279
Miami (FL),32,19,13,.594,11.76,9.04,7,9,12,4,5,7,2325,2123,.379,.366,.528,53.5,51.0,7.5,.494,16.3,.258
Miami (OH),30,17,13,.567,3.16,0.46,10,6,9,2,7,10,1847,1766,.346,.319,.525,50.2,56.2,6.6,.488,18.7,.245
Michigan State,38,31,7,.816,17.71,9.37,15,3,12,2,9,1,2737,2420,.411,.266,.536,56.8,63.5,6.0,.498,17.3,.287
Michigan,35,21,14,.600,11.90,9.74,9,9,14,3,3,8,2341,2213,.285,.477,.540,47.5,66.7,5.5,.505,15.6,.216
Middle Tennessee,32,18,14,.563,-1.32,-2.78,10,8,10,6,6,7,2254,2114,.383,.270,.530,52.1,48.6,3.4,.494,15.1,.266
Milwaukee,31,17,14,.548,-0.54,0.80,11,7,12,3,3,10,2108,2108,.352,.407,.508,51.1,50.7,6.0,.467,16.2,.253
Minnesota,33,22,11,.667,11.32,7.19,9,9,16,3,4,6,2189,2032,.345,.324,.531,51.5,59.6,13.6,.494,18.8,.247
Mississippi State,36,23,13,.639,9.10,4.62,9,7,13,5,6,5,2677,2479,.412,.398,.544,49.4,50.2,13.2,.504,17.4,.292
Mississippi Valley State,32,7,25,.219,-18.44,-7.22,7,11,7,3,0,19,2029,2388,.328,.329,.474,47.7,50.6,3.6,.437,18.7,.223
Mississippi,31,16,15,.516,5.82,5.41,7,9,12,4,3,8,2254,2241,.342,.346,.530,50.5,45.7,6.4,.492,16.1,.249
Missouri-Kansas City,31,7,24,.226,-10.11,-1.25,3,15,3,9,3,14,2008,2263,.347,.332,.495,48.5,48.4,3.8,.453,16.7,.246
Missouri State,31,11,20,.355,-1.90,1.90,3,15,9,8,2,11,1887,1984,.380,.380,.500,49.7,54.9,5.1,.462,17.8,.258
Missouri,38,31,7,.816,19.56,6.72,12,4,18,0,5,4,3096,2571,.366,.313,.554,49.6,62.2,7.2,.527,13.8,.246
Monmouth,31,8,23,.258,-14.84,-5.91,6,12,6,8,1,14,1925,2188,.333,.356,.506,47.8,64.5,5.6,.470,19.6,.233
Montana State,31,14,17,.452,-6.38,-2.45,6,10,7,5,7,11,2053,2152,.393,.346,.508,51.4,49.6,6.9,.471,17.5,.264
Montana,29,17,12,.586,-2.92,-3.53,11,5,12,3,5,9,1905,1868,.380,.316,.554,49.4,53.8,8.4,.515,16.4,.277
Morehead State,36,20,16,.556,-3.14,-3.61,12,6,12,1,4,12,2511,2411,.416,.286,.530,55.9,53.6,8.1,.485,19.0,.300
Morgan State,35,23,12,.657,-2.29,-6.53,13,3,8,2,10,7,2333,2182,.330,.262,.493,52.4,45.9,6.5,.463,16.1,.214
Mount St. Mary's,33,19,14,.576,-1.47,-5.78,12,6,12,2,7,12,2241,2079,.343,.258,.524,51.3,49.9,7.6,.494,16.8,.231
Murray State,31,19,12,.613,-0.09,-3.95,13,5,12,2,6,6,2119,1959,.407,.297,.531,52.3,53.7,4.6,.489,16.9,.291
Navy,30,19,11,.633,-5.35,-7.68,8,6,12,3,7,7,2129,2059,.380,.378,.518,48.9,52.7,4.8,.474,16.9,.275
Nebraska,31,18,13,.581,8.92,4.82,8,8,14,4,4,8,1999,1872,.382,.363,.539,44.7,59.8,4.0,.502,16.1,.268
