Team1,Team2,Points1,Points2,Result,G1,W1,L1,W-L%1,SRS1,SOS1,ConfW1,ConfL1,HomeW1,HomeL1,AwayW1,AwayL1,Tm.1,Opp.1,MP1,FG1,FGA1,FG%1,3P1,3PA1,3P%1,FT1,FTA1,FT%1,ORB1,TRB1,AST1,STL1,BLK1,TOV1,PF1,Pace1,ORtg1,FTr1,3PAr1,TS%1,TRB%1,AST%1,STL%1,BLK%1,eFG%1,TOV%1,ORB%1,FT/FGA1,AdjEM1,AdjO1,AdjD1,AdjT1,Luck1,SOS AdjEM1,OppO1,OppD1,NCSOS AdjEM1,G2,W2,L2,W-L%2,SRS2,SOS2,ConfW2,ConfL2,HomeW2,HomeL2,AwayW2,AwayL2,Tm.2,Opp.2,MP2,FG2,FGA2,FG%2,3P2,3PA2,3P%2,FT2,FTA2,FT%2,ORB2,TRB2,AST2,STL2,BLK2,TOV2,PF2,Pace2,ORtg2,FTr2,3PAr2,TS%2,TRB%2,AST%2,STL%2,BLK%2,eFG%2,TOV%2,ORB%2,FT/FGA2,AdjEM2,AdjO2,AdjD2,AdjT2,Luck2,SOS AdjEM2,OppO2,OppD2,NCSOS AdjEM2
Gonzaga,South Dakota State,66,46,1,39,37,2,.949,25.26,4.13,17,1,15,1,10,0,3222,2398,1560,1149,2280,.504,286,749,.382,638,890,.717,378,1587,595,265,183,448,660,70.9,116.4,.390,.329,.596,54.7,51.8,9.6,11.2,.567,14.2,29.8,.280,+33.05,120.7,87.7,69.7,+.016,+0.61,104.9,104.3,+0.71,35,18,17,.514,-2.30,-0.66,8,8,11,3,3,12,2683,2697,1415,881,1938,.455,318,883,.360,603,782,.771,316,1229,459,180,83,453,584,69.2,109.6,.404,.456,.581,50.7,52.1,7.4,7.2,.537,16.4,27.4,.311,-1.33,110.8,112.1,66.7,+.029,-1.09,104.6,105.7,+1.60
Vanderbilt,Northwestern,66,68,0,35,19,16,.543,13.69,10.72,10,8,11,5,5,6,2489,2385,1405,815,1896,.430,346,921,.376,513,660,.777,286,1208,450,147,133,430,581,67.1,105.6,.348,.486,.563,50.0,55.2,6.2,9.8,.521,16.3,24.7,.271,+16.24,112.3,96.1,65.2,-.035,+11.16,109.9,98.7,+6.58,36,24,12,.667,14.02,8.43,10,8,14,4,5,5,2558,2357,1440,913,2094,.436,256,747,.343,476,637,.747,386,1304,540,190,175,383,691,66.6,106.8,.304,.357,.534,50.6,59.1,7.9,13.2,.497,13.8,30.7,.227,+15.51,111.2,95.7,64.7,+.021,+7.75,108.6,100.8,-2.84
Notre Dame,Princeton,60,58,1,36,26,10,.722,17.81,9.78,12,6,16,2,5,4,2783,2494,1445,980,2139,.458,334,869,.384,489,611,.800,334,1212,566,255,134,341,533,67.7,113.8,.286,.406,.573,48.7,57.8,10.4,9.7,.536,12.3,27.3,.229,+21.09,118.9,97.8,66.8,+.021,+10.64,110.2,99.6,-3.98,30,23,7,.767,6.57,-1.84,14,0,10,1,10,4,2149,1843,1205,772,1716,.450,298,789,.378,307,416,.738,247,1003,426,200,93,298,482,65.2,109.5,.242,.460,.562,50.0,55.2,10.2,9.5,.537,13.5,24.4,.179,+12.50,109.4,96.9,62.8,+.025,-1.45,103.4,104.8,+2.51
Bucknell,West Virginia,80,86,0,35,26,9,.743,5.89,-2.48,15,3,14,2,9,6,2669,2376,1400,942,1961,.480,286,754,.379,497,730,.681,302,1203,510,252,134,466,655,70.7,107.9,.372,.384,.578,50.6,54.1,10.2,9.7,.553,16.8,26.7,.253,+8.71,109.1,100.3,69.3,+.018,-4.37,100.9,105.3,+1.09,37,28,9,.757,24.45,9.67,12,6,16,2,6,4,3014,2467,1505,1059,2333,.454,275,759,.362,621,907,.685,534,1387,607,371,176,455,756,71.4,112.2,.389,.325,.545,52.1,57.3,13.8,14.2,.513,14.1,37.7,.266,+26.80,116.5,89.7,69.5,-.043,+9.76,109.3,99.5,-7.91
Xavier,Maryland,76,65,1,38,24,14,.632,14.80,11.51,9,9,12,4,4,8,2836,2711,1525,981,2148,.457,267,776,.344,607,881,.689,451,1417,559,228,100,478,708,68.3,109.0,.410,.361,.553,54.4,57.0,8.8,7.7,.519,15.7,34.4,.283,+15.32,114.8,99.5,66.8,+.030,+11.06,110.8,99.7,+5.78,33,24,9,.727,12.79,8.29,12,6,13,5,8,2,2438,2246,1325,827,1840,.449,272,757,.359,512,732,.699,351,1173,472,180,154,426,613,68.1,108.1,.398,.411,.557,50.3,57.1,8.0,11.9,.523,16.3,31.1,.278,+14.83,113.6,98.8,66.7,+.064,+7.66,107.9,100.3,-0.95
Florida State,Florida Gulf Coast,86,80,1,35,26,9,.743,18.87,8.87,12,6,18,0,3,6,2873,2523,1400,1036,2146,.483,233,671,.347,568,824,.689,409,1324,511,259,180,415,684,72.6,113.1,.384,.313,.566,52.7,49.3,10.2,13.7,.537,14.1,33.6,.265,+22.74,116.7,94.0,70.4,+.023,+9.69,110.9,101.2,-3.61,34,26,8,.765,2.26,-3.42,12,2,16,3,10,3,2701,2356,1370,1007,2017,.499,221,636,.347,466,664,.702,379,1269,527,207,116,421,635,69.3,113.8,.329,.315,.579,53.9,52.3,8.7,9.7,.554,15.3,33.9,.231,+5.01,109.5,104.5,64.8,+.051,-4.99,103.6,108.6,+2.69
Saint Mary's (CA),Virginia Commonwealth,85,77,1,34,29,5,.853,16.75,2.19,16,2,15,2,10,1,2449,1954,1360,892,1797,.496,293,744,.394,372,499,.745,324,1205,563,143,110,365,512,61.3,117.6,.278,.414,.602,57.2,63.1,6.9,8.5,.578,15.2,33.0,.207,+24.64,119.0,94.3,58.9,+.034,-0.28,104.0,104.3,-4.28,35,26,9,.743,11.57,3.77,14,4,15,1,7,4,2616,2343,1420,945,2050,.461,199,602,.331,527,747,.705,386,1275,525,263,138,435,728,69.0,106.8,.364,.294,.544,51.8,55.6,10.7,10.6,.510,15.3,31.2,.257,+14.31,110.0,95.7,67.8,+.036,+3.60,105.6,102.0,+1.12
Arizona,North Dakota,100,82,1,37,32,5,.865,18.25,7.63,16,2,15,1,9,1,2833,2440,1480,977,2048,.477,244,625,.390,635,830,.765,380,1358,501,201,119,413,625,67.3,113.8,.405,.305,.580,55.1,51.3,8.1,8.8,.537,14.5,33.1,.310,+22.74,117.6,94.8,65.3,+.064,+6.60,108.1,101.5,+1.53,32,22,10,.688,-1.83,-5.45,14,4,11,2,7,6,2578,2357,1300,926,1919,.483,228,585,.390,498,698,.713,297,1146,487,251,93,419,672,72.9,108.8,.364,.305,.573,50.5,52.6,10.6,7.5,.542,15.7,26.8,.260,-0.32,102.9,103.2,70.9,+.047,-6.51,102.4,108.9,+3.07
Gonzaga,Northwestern,79,73,1,39,37,2,.949,25.26,4.13,17,1,15,1,10,0,3222,2398,1560,1149,2280,.504,286,749,.382,638,890,.717,378,1587,595,265,183,448,660,70.9,116.4,.390,.329,.596,54.7,51.8,9.6,11.2,.567,14.2,29.8,.280,+33.05,120.7,87.7,69.7,+.016,+0.61,104.9,104.3,+0.71,36,24,12,.667,14.02,8.43,10,8,14,4,5,5,2558,2357,1440,913,2094,.436,256,747,.343,476,637,.747,386,1304,540,190,175,383,691,66.6,106.8,.304,.357,.534,50.6,59.1,7.9,13.2,.497,13.8,30.7,.227,+15.51,111.2,95.7,64.7,+.021,+7.75,108.6,100.8,-2.84
Notre Dame,West Virginia,71,83,0,36,26,10,.722,17.81,9.78,12,6,16,2,5,4,2783,2494,1445,980,2139,.458,334,869,.384,489,611,.800,334,1212,566,255,134,341,533,67.7,113.8,.286,.406,.573,48.7,57.8,10.4,9.7,.536,12.3,27.3,.229,+21.09,118.9,97.8,66.8,+.021,+10.64,110.2,99.6,-3.98,37,28,9,.757,24.45,9.67,12,6,16,2,6,4,3014,2467,1505,1059,2333,.454,275,759,.362,621,907,.685,534,1387,607,371,176,455,756,71.4,112.2,.389,.325,.545,52.1,57.3,13.8,14.2,.513,14.1,37.7,.266,+26.80,116.5,89.7,69.5,-.043,+9.76,109.3,99.5,-7.91
